ID,LAT,LON,New_Greenl,Old_Greenl,Foreign_na,Official_n,Alternativ,RGI_ID,GLIMS_ID,RGI_LON,RGI_LAT,Type
GGN0128,65.961300,-52.072100,Inorersut Sermiat,,,Inorersut Sermiat,,RGI40-05.00310,G307955E65949N,-52.045100,65.949300,LGIC
GGN0129,65.963200,-52.262100,Taateraatsiaat Sermiat,Tâterâtsiait Sermiat,,Taateraatsiaat Sermiat,Taateraat Sermiat Killeq,RGI40-05.00818,G307687E65965N,-52.313500,65.964500,LGIC
GGN0130,65.964900,-52.562300,Sisuugussiviup Sermia,Sisûgússiviup Sermia,,Sisuugussiviup Sermia,,RGI40-05.00303,G307450E65956N,-52.550400,65.956200,LGIC
GGN0131,65.966700,-52.500000,Sermitaq Ammalortoq,Sermitaq Angmalortoq,,Sermitaq Ammalortoq,,RGI40-05.00839,G307519E65964N,-52.480900,65.964200,LGIC
GGN0132,65.983300,-52.300000,Itillineq,Itivdlineq,,Itillineq,,RGI40-05.00818,G307687E65965N,-52.313500,65.964500,LGIC
GGN0133,65.986600,-38.449600,Kangertsivala Apusiia,,Heim Gletsjer,Kangertsivala Apusiia,,,,0.000000,0.000000,GrIS
GGN0134,65.990600,-51.894600,Tapa,Tapa,,Tapa,,RGI40-05.00304,G308045E65929N,-51.955000,65.929300,LGIC
GGN0135,66.005300,-52.453100,Taateraat Sermiat,Tâterât Sermiat,,Taateraat Sermiat,,RGI40-05.00800,G307859E66095N,-52.141000,66.094500,LGIC
GGN0136,66.009600,-38.364400,Kattilertarpia,Kagtilersorpia,,Kattilertarpia,"Kattilersorpia; Kaddilertsarpia",,,0.000000,0.000000,GrIS
GGN0137,66.012100,-36.012800,Apuseeq,Apusineq,,Apuseeq,Apusineq,RGI40-05.13934,G323982E66014N,-36.017800,66.013500,LGIC
GGN0138,66.015200,-52.994700,Sermeralak,Sermeralak,,Sermeralak,Sermeralaa,RGI40-05.00854,G307077E66077N,-52.922900,66.076500,LGIC
GGN0139,66.016700,-52.200000,Taateraatsiaat Sermiat,Tâterâtsiait Sermiat,,Taateraatsiaat Sermiat,Taateraat Sermiat Kangilleq,RGI40-05.00798,G307793E66027N,-52.206900,66.027000,LGIC
GGN0140,66.016700,-52.816700,Sermitsiaq,Sermitsiaq,,Sermitsiaq,,RGI40-05.00817,G307554E66152N,-52.445900,66.151900,LGIC
GGN0141,66.037200,-52.059500,Salliarusiarsuit Sermiat,Sagdliarusiarssuit Sermiat,,Salliarusiarsuit Sermiat,,RGI40-05.00824,G307940E66043N,-52.060200,66.043000,LGIC
GGN0142,66.046900,-36.318800,Apuseerajik,Apusêrajik,,Apuseerajik,Apuseerngaiid,RGI40-05.11639,G323695E66046N,-36.304700,66.046300,LGIC
GGN0143,66.049300,-52.482900,Avannarliup Sermia,Avangnardliup Sermia,,Avannarliup Sermia,,RGI40-05.00831,G307600E66099N,-52.400000,66.099300,LGIC
GGN0144,66.050000,-52.000000,Salliarutsit Sermiat,Sagdliarutsit Sermiat,,Salliarutsit Sermiat,,RGI40-05.00822,G308004E66062N,-51.995800,66.061700,LGIC
GGN0145,66.060700,-51.904200,Ippattaq,Ípagtaq,,Ippattaq,,RGI40-05.00821,G308098E66060N,-51.902000,66.059700,LGIC
GGN0146,66.069900,-51.862900,Nakkarajooq,Nákarajôq,,Nakkarajooq,,RGI40-05.00814,G308093E66087N,-51.907000,66.087400,LGIC
GGN0147,66.085100,-36.028000,,,Stephan Gletsjer,Stephan Gletsjer,,RGI40-05.13886,G323938E66079N,-36.062500,66.079100,LGIC
GGN0148,66.112400,-36.758900,,,Kaarali Gletsjer,Kaarali Gletsjer,,RGI40-05.13930,G323201E66153N,-36.798700,66.152900,LGIC
GGN0149,66.130200,-53.013000,,,Fagerbræ,Fagerbræ,,RGI40-05.00846,G307026E66114N,-52.974500,66.114300,LGIC
GGN0150,66.132400,-36.134300,,,Idrac Gletsjer,Idrac Gletsjer,,RGI40-05.13995,G323748E66257N,-36.252100,66.257200,LGIC
GGN0151,66.183300,-51.166700,,,Quantum Gletsjer,Quantum Gletsjer,,RGI40-05.00445,G308765E66141N,-51.235500,66.141400,LGIC
GGN0152,66.183300,-52.850000,,,Dybe Rende,Dybe Rende,,RGI40-05.00845,G307222E66172N,-52.777500,66.171700,LGIC
GGN0153,66.187000,-38.071400,Apuseerajik,Apusêrajik,,Apuseerajik,Apuseerngai,,,0.000000,0.000000,GrIS
GGN0154,66.210100,-36.221100,Apuseeq,Apusêq,Knud Rasmussen Gletsjer,Apuseeq,,RGI40-05.13995,G323748E66257N,-36.252100,66.257200,LGIC
GGN0155,66.218300,-52.725900,,,Lyngbræ,Lyngbræ,,RGI40-05.00809,G307316E66184N,-52.684100,66.183600,LGIC
GGN0156,66.266700,-51.383300,,,Tasersiaq Gletsjer,Tasersiaq Gletsjer,,RGI40-05.00794,G308453E66278N,-51.546600,66.278100,LGIC
GGN0157,66.266700,-52.633300,,,Vimmelskaftet,Vimmelskaftet,,RGI40-05.00844,G307452E66239N,-52.548400,66.238900,LGIC
GGN0158,66.300200,-36.742300,,,16. September Gletsjer,16. September Gletsjer,,RGI40-05.13916,G323299E66302N,-36.701000,66.302400,LGIC
GGN0159,66.316700,-51.416700,,,Sarfartooq Gletsjer,Sarfartooq Gletsjer,,RGI40-05.00794,G308453E66278N,-51.546600,66.278100,LGIC
GGN0160,66.317600,-35.790200,Apuseerajik,Apusêrajik,,Apuseerajik,,RGI40-05.13978,G324231E66323N,-35.768900,66.323100,LGIC
GGN0161,66.350400,-52.558500,Serminnguaq,Sermínguaq,,Serminnguaq,,RGI40-05.00793,G307609E66296N,-52.390700,66.295900,LGIC
GGN0162,66.371400,-36.167300,,,Håbet Gletsjer,Håbet Gletsjer,,RGI40-05.13995,G323748E66257N,-36.252100,66.257200,LGIC
GGN0163,66.373500,-38.306700,,,Helheim Gletsjer,Helheim Gletsjer,,,,0.000000,0.000000,GrIS
GGN0164,66.380300,-34.886300,Tuttiliip Kattertarpia,Tugtilîp Kagtilersorpia,,Tuttiliip Kattertarpia,"Tuttiliip Kattilersorpia; Tuddiliip Kaddilertsarpia",RGI40-05.13754,G325104E66415N,-34.896400,66.414600,LGIC
GGN0165,66.382000,-37.543900,Apuseerajik,Apusêrajik,Fenris Gletsjer,Apuseerajik,Apuseerngai,,,0.000000,0.000000,GrIS
GGN0166,66.387300,-35.292900,Nigertuluup Kattilertarpia Oqqorteq,Nigertulûp Kagtilersarpia orqorseq,,Nigertuluup Kattilertarpia Oqqorteq,"Nigertuluup Kattilersorpia Oqqorseq; Ningertuluup Kaddilertsarpia Oqqortser",RGI40-05.13965,G324755E66481N,-35.245300,66.481000,LGIC
GGN0167,66.433500,-35.161400,Nigertuluup Kattilertarpia Kiatteq,Nigertulûp Kagtilersarpia Kiáteq,,Nigertuluup Kattilertarpia Kiatteq,"Nigertuluup Kattilersarpia Kiatteq; NIngertuluup Kaddilertsarpia Kiadder",RGI40-05.13965,G324755E66481N,-35.245300,66.481000,LGIC
GGN0168,66.443600,-36.738100,Nigertiip Apusiia,,Midgård Gletsjer,Nigertiip Apusiia,Ningertii apusiia,,,0.000000,0.000000,GrIS
GGN0169,66.447500,-35.723000,Kattilertarpia,Kagtilersorpia,,Kattilertarpia,"Kattilersorpia; Kaddilertsarpia",RGI40-05.13961,G324527E66490N,-35.473100,66.490300,LGIC
GGN0170,66.500800,-37.843600,,,Skakt Gletsjer,Skakt Gletsjer,,RGI40-05.12459,G322152E66557N,-37.848400,66.557300,LGIC
GGN0171,66.505600,-34.858800,Sulussuulip Apusiia,Sulugssûtip Apusîa,K.J.V. Steenstrup Søndre Bræ,Sulussuulip Apusiia,"Sulussuutip Apusiia; Tsulutsuulip Apusiia",RGI40-05.13952,G325098E66512N,-34.902400,66.512400,LGIC
GGN0172,66.514500,-52.689300,Serminnguaq,Sermínguaq,,Serminnguaq,,RGI40-05.00991,G307314E66506N,-52.686100,66.506400,LGIC
GGN0173,66.520900,-36.236100,Kattilersorpia,Kagtilersorpia,Glacier de France,Kattilersorpia,,RGI40-05.13983,G324091E66567N,-35.909000,66.566800,LGIC
GGN0174,66.566500,-36.767800,,,Franche Comté Gletsjer,Franche Comté Gletsjer,,,,0.000000,0.000000,GrIS
GGN0175,66.595500,-34.727000,,,K.J.V. Steenstrup Nordre Bræ,K.J.V. Steenstrup Nordre Bræ,,,,0.000000,0.000000,GrIS
GGN0176,66.621900,-36.116900,,,Pourquoi-pas Gletsjer,Pourquoi-pas Gletsjer,,RGI40-05.13983,G324091E66567N,-35.909000,66.566800,LGIC
GGN0177,66.650000,-36.666700,,,Femstjernen,Femstjernen,,,,0.000000,0.000000,GrIS
GGN0178,66.732000,-36.177900,,,Champs Elysees Gletsjer,Champs Elysees Gletsjer,,,,0.000000,0.000000,GrIS
GGN0179,66.733300,-37.066700,,,Juragletsjeren,Juragletsjeren,,,,0.000000,0.000000,GrIS
GGN0180,66.791400,-36.217800,,,Kristian Gletsjer,Kristian Gletsjer,,,,0.000000,0.000000,GrIS
GGN0181,66.831200,-36.834400,,,Paris Gletsjer,Paris Gletsjer,,,,0.000000,0.000000,GrIS
GGN0182,66.883300,-36.750000,,,Bjørnegletsjer,Bjørnegletsjer,,,,0.000000,0.000000,GrIS
GGN0183,66.900000,-37.250000,,,Døren,Døren,,,,0.000000,0.000000,GrIS
GGN0184,66.930400,-36.949000,,,Forelporten,Forelporten,,,,0.000000,0.000000,GrIS
GGN0185,66.931500,-36.676200,,,Vinduet,Vinduet,,,,0.000000,0.000000,GrIS
GGN0186,66.936700,-34.114800,,,Laube Gletsjer,Laube Gletsjer,,RGI40-05.12089,G325788E66942N,-34.212000,66.941500,LGIC
GGN0187,66.966100,-36.741000,,,Nordgabet,Nordgabet,,,,0.000000,0.000000,GrIS
GGN0188,67.187500,-50.171600,Isunnguata Sermia,Isúnguata Sermia,,Isunnguata Sermia,,,,0.000000,0.000000,GrIS
GGN0189,67.516700,-49.916700,Inuppaat Quuat,Inugpait Qûat,,Inuppaat Quuat,,,,0.000000,0.000000,GrIS
GGN0190,67.877400,-33.379900,,,Søndre Parallelgletsjer,Søndre Parallelgletsjer,,RGI40-05.12680,G326477E67858N,-33.522800,67.858300,LGIC
GGN0191,67.893500,-33.298300,,,Nordre Parallelgletsjer,Nordre Parallelgletsjer,,RGI40-05.12680,G326477E67858N,-33.522800,67.858300,LGIC
GGN0192,67.942200,-50.109000,,,Geographical Union Gletsjer,Geographical Union Gletsjer,,,,0.000000,0.000000,GrIS
GGN0193,67.950000,-32.450000,Apuliliip Apusiia,Aputitêrtîp Apusîa,Polaric Gletsjer,Apuliliip Apusiia,"Aputiteertiip Apusiia; Apuliliip Apusiia",RGI40-05.12685,G327559E68005N,-32.440800,68.004500,LGIC
GGN0194,67.950500,-50.300500,Usulluup Sermia,Usugdlûp Sermia,Poloniagletsjer,Usulluup Sermia,,,,0.000000,0.000000,GrIS
GGN0195,68.083300,-50.266700,,,J.P. Koch Gletsjer,J.P. Koch Gletsjer,,,,0.000000,0.000000,GrIS
GGN0196,68.110900,-32.856000,,,Hutchinson Gletsjer,Hutchinson Gletsjer,,RGI40-05.12685,G327559E68005N,-32.440800,68.004500,LGIC
GGN0197,68.116700,-31.700000,,,Tindegletsjer,Tindegletsjer,,RGI40-05.12372,G328315E68124N,-31.685000,68.123500,LGIC
GGN0198,68.125800,-31.685500,,,Brødregletsjer,Brødregletsjer,,RGI40-05.12372,G328315E68124N,-31.685000,68.123500,LGIC
GGN0199,68.128100,-31.613000,,,Hammer Gletsjer,Hammer Gletsjer,,RGI40-05.12414,G328401E68133N,-31.599000,68.133200,LGIC
GGN0200,68.140900,-31.675200,,,Basisgletsjer,Basisgletsjer,,RGI40-05.12402,G328322E68141N,-31.678300,68.140500,LGIC
GGN0201,68.154500,-31.573900,,,Udløberen,Udløberen,,RGI40-05.12567,G328426E68160N,-31.574000,68.160300,LGIC
GGN0202,68.175800,-31.640400,,,Forbindelsesgletsjer,Forbindelsesgletsjer,,RGI40-05.12568,G328377E68172N,-31.623400,68.171900,LGIC
GGN0203,68.223600,-31.665800,,,Dobbeltgletsjeren,Dobbeltgletsjeren,,RGI40-05.12692,G328363E68219N,-31.636900,68.218600,LGIC
GGN0204,68.255800,-30.928300,,,Schelderup Gletsjer,Schelderup Gletsjer,,RGI40-05.12852,G328959E68281N,-31.041000,68.281400,LGIC
GGN0205,68.267900,-32.397400,,,Søndre Syenitgletsjer,Søndre Syenitgletsjer,,RGI40-05.12686,G327585E68274N,-32.414600,68.274400,LGIC
GGN0206,68.291200,-32.778700,,,Hovedvejen,Hovedvejen,,RGI40-05.12903,G327175E68227N,-32.824800,68.226500,LGIC
GGN0207,68.305400,-32.379000,,,Nordre Syenitgletsjer,Nordre Syenitgletsjer,,RGI40-05.12906,G327622E68308N,-32.377900,68.308400,LGIC
GGN0208,68.325400,-51.007300,Akuliarutsip Sermia,Akuliarutsip Sermia,Nordenskiöld Gletsjer,Akuliarutsip Sermia,"Akuliarutsip Sermersua; Tasiusarsuup Sermersua",,,0.000000,0.000000,GrIS
GGN0209,68.333300,-31.916700,,,Sidegletsjer,Sidegletsjer,,RGI40-05.12769,G328155E68353N,-31.845500,68.352900,LGIC
GGN0210,68.345400,-32.472200,,,Kælvegletsjer,Kælvegletsjer,,RGI40-05.12934,G327414E68310N,-32.585700,68.310300,LGIC
GGN0211,68.455700,-31.662000,,,Frederiksborg Gletsjer,Frederiksborg Gletsjer,,,,0.000000,0.000000,GrIS
GGN0212,68.506000,-30.932800,,,Sorgenfri Gletsjer,Sorgenfri Gletsjer,,,,0.000000,0.000000,GrIS
GGN0213,68.582200,-31.637500,,,Gaffelen,Gaffelen,,,,0.000000,0.000000,GrIS
GGN0214,68.597500,-32.022800,,,Courtauld Gletsjer,Courtauld Gletsjer,,,,0.000000,0.000000,GrIS
GGN0215,68.616400,-33.220100,Apuseeq Qinnilik,Apusêq Qivnilik,,Apuseeq Qinnilik,,,,0.000000,0.000000,GrIS
GGN0216,68.636900,-29.383600,,,Rosenborg Gletsjer,Rosenborg Gletsjer,,RGI40-05.13667,G330976E68786N,-29.023600,68.786100,LGIC
GGN0217,68.637200,-31.492100,,,Læbæltet,Læbæltet,,,,0.000000,0.000000,GrIS
GGN0218,68.674600,-33.076000,,,Kangerlussuaq Gletsjer,Kangerlussuaq Gletsjer,,,,0.000000,0.000000,GrIS
GGN0219,68.693400,-32.372800,,,Styrtegletsjer,Styrtegletsjer,,,,0.000000,0.000000,GrIS
GGN0220,68.700000,-30.616700,,,Christian IV Gletsjer,Christian IV Gletsjer,,,,0.000000,0.000000,GrIS
GGN0221,68.719400,-32.648700,,,Nordfjord Gletsjer,Nordfjord Gletsjer,,,,0.000000,0.000000,GrIS
GGN0222,68.724700,-28.654400,,,Kronborg Gletsjer,Kronborg Gletsjer,,RGI40-05.13667,G330976E68786N,-29.023600,68.786100,LGIC
GGN0223,68.749700,-28.127800,,,Borggraven,Borggraven,,RGI40-05.13536,G331157E69166N,-28.843400,69.165900,LGIC
GGN0224,68.785300,-30.183100,,,Korridoren,Korridoren,,,,0.000000,0.000000,GrIS
GGN0225,68.816700,-27.083300,,,Sortebræ,Sortebræ,,RGI40-05.13429,G332759E68980N,-27.241100,68.979500,LGIC
GGN0226,68.824900,-31.097900,,,Isfaldgletsjer,Isfaldgletsjer,,,,0.000000,0.000000,GrIS
GGN0227,68.866700,-50.283300,Saqqarliup Sermia,Sarqardliup Sermia,,Saqqarliup Sermia,,,,0.000000,0.000000,GrIS
GGN0228,68.866700,-26.100000,Apuseeq Anittangasikkaajuk,,Storbræ,Apuseeq Anittangasikkaajuk,Apuseer anittangasikkaaju,RGI40-05.13499,G333654E69030N,-26.346100,69.030400,LGIC
GGN0229,68.916700,-50.200000,Alanngorliup Sermia,Alángordliup Sermia,,Alanngorliup Sermia,,,,0.000000,0.000000,GrIS
GGN0230,68.946100,-31.599400,,,Øvre Frederiksborg Gletsjer,Øvre Frederiksborg Gletsjer,,,,0.000000,0.000000,GrIS
GGN0231,68.980900,-29.973600,,,Gino Gletsjer,Gino Gletsjer,,,,0.000000,0.000000,GrIS
GGN0232,69.066700,-29.300000,,,Kronborg Gletsjer,Kronborg Gletsjer,,RGI40-05.13667,G330976E68786N,-29.023600,68.786100,LGIC
GGN0233,69.100000,-30.583300,,,Lindbergh Gletsjer,Lindbergh Gletsjer,,,,0.000000,0.000000,GrIS
GGN0234,69.166700,-31.133300,,,Seward Gletsjer,Seward Gletsjer,,,,0.000000,0.000000,GrIS
GGN0235,69.183300,-49.800000,Sermeq Kujalleq,Sermeq Kujatdleq,Jakobshavn Isbræ,Sermeq Kujalleq,,,,0.000000,0.000000,GrIS
GGN0236,69.300000,-53.567200,,,Petersen Gletsjer,Petersen Gletsjer,,RGI40-05.00623,G306428E69317N,-53.571800,69.316600,LGIC
GGN0237,69.300000,-53.400500,,,Pjetursson Gletsjer,Pjetursson Gletsjer,,RGI40-05.00602,G306613E69293N,-53.386900,69.293000,LGIC
GGN0238,69.333300,-53.600500,,,Lyngmarksbræ,Lyngmarksbræ,,RGI40-05.00621,G306381E69333N,-53.619100,69.333100,LGIC
GGN0239,69.350000,-53.583900,,,Chamberlin Gletsjer,Chamberlin Gletsjer,,RGI40-05.00627,G306414E69352N,-53.586100,69.352400,LGIC
GGN0240,69.383300,-50.266700,Sermeq Avannarleq,Sermeq Avangnardleq,,Sermeq Avannarleq,,,,0.000000,0.000000,GrIS
GGN0241,69.400000,-31.000000,,,Gronau Gletsjer,Gronau Gletsjer,,,,0.000000,0.000000,GrIS
GGN0242,69.500000,-29.833300,,,Grønlands Styrelse Gletsjer,Grønlands Styrelse Gletsjer,,,,0.000000,0.000000,GrIS
GGN0243,69.550000,-53.000400,,,C.A. Nielsen Bræ,C.A. Nielsen Bræ,,RGI40-05.01335,G307040E69541N,-52.959900,69.540600,LGIC
GGN0244,69.600000,-25.500000,,,Dendritgletsjer,Dendritgletsjer,,RGI40-05.13575,G333975E69553N,-26.025300,69.553200,LGIC
GGN0245,69.614200,-52.918000,,,Steenstrup Gletsjer,Steenstrup Gletsjer,,RGI40-05.01358,G307148E69623N,-52.852000,69.622900,LGIC
GGN0246,69.656700,-24.129400,,,Bartholin Bræ,Bartholin Bræ,,RGI40-05.13717,G335358E69815N,-24.642100,69.814500,LGIC
GGN0247,69.693900,-52.947500,Sermersuaq,Sermerssuaq,Storbræen,Sermersuaq,,RGI40-05.01371,G306980E69700N,-53.020000,69.699800,LGIC
GGN0248,69.733300,-52.817000,,,Moltke Gletsjer,Moltke Gletsjer,,RGI40-05.01355,G307166E69739N,-52.833900,69.738600,LGIC
GGN0249,69.783600,-54.123900,Sermia,Sermia,,Sermia,,RGI40-05.01216,G305860E69779N,-54.140200,69.779300,LGIC
GGN0250,69.808000,-50.185100,Eqip Sermia,Eqip Sermia,,Eqip Sermia,,,,0.000000,0.000000,GrIS
GGN0251,69.816700,-53.333800,,,Snekalotten,Snekalotten,,RGI40-05.01445,G306658E69817N,-53.341700,69.816600,LGIC
GGN0252,69.856700,-23.562400,,,Steno Bræ,Steno Bræ,,RGI40-05.13505,G336006E69900N,-23.994400,69.900100,LGIC
GGN0253,69.900900,-50.342000,Kangilernata Sermia,Kangilernata Sermia,,Kangilernata Sermia,"Kangilerngata Sermia;Sermeq Av",,,0.000000,0.000000,GrIS
GGN0254,69.933300,-27.750000,,,Kista Dan Gletsjer,Kista Dan Gletsjer,,RGI40-05.13567,G331685E69750N,-28.315200,69.750000,LGIC
GGN0255,69.933300,-27.083300,,,Magga Dan Gletsjer,Magga Dan Gletsjer,,RGI40-05.13501,G332658E69567N,-27.341800,69.566500,LGIC
GGN0256,69.996000,-50.159600,Sermeq Kujalleq,Sermeq Kujatdleq,,Sermeq Kujalleq,Alianaatsup Sermia,,,0.000000,0.000000,GrIS
GGN0257,70.049600,-22.468300,,,Sfinxgletsjer,Sfinxgletsjer,,RGI40-05.13619,G337529E70042N,-22.471300,70.041800,LGIC
GGN0258,70.049700,-28.634300,,,Gåsegletsjer,Gåsegletsjer,,RGI40-05.14872,G330936E69934N,-29.063800,69.934100,LGIC
GGN0259,70.056700,-22.730300,Ilinnigajia,Ilivnikajia,Roma Gletsjer,Ilinnigajia,"Ilinnikajia; Ilinnigajja",RGI40-05.13616,G337269E70048N,-22.730800,70.047700,LGIC
GGN0260,70.065200,-26.268800,,,Sydbræ,Sydbræ,,RGI40-05.13722,G333752E70017N,-26.247700,70.016700,LGIC
GGN0261,70.066700,-23.333300,,,Torvgletsjer,Torvgletsjer,,RGI40-05.13568,G336622E69997N,-23.377800,69.996800,LGIC
GGN0262,70.078400,-22.924900,,,Milano Gletsjer,Milano Gletsjer,,RGI40-05.13497,G337049E70068N,-22.951100,70.067900,LGIC
GGN0263,70.082400,-22.431200,Kikkiagajik,,Kamelgletsjer,Kikkiagajik,Kikkiagai,RGI40-05.14995,G337618E70091N,-22.382300,70.091400,LGIC
GGN0264,70.083800,-23.570000,,,Østre Borggletsjer,Østre Borggletsjer,,RGI40-05.13565,G336337E70062N,-23.663400,70.062000,LGIC
GGN0265,70.085300,-50.246800,Sermeq Avannarleq,Sermeq Avangnardleq,,Sermeq Avannarleq,,,,0.000000,0.000000,GrIS
GGN0266,70.087500,-23.127400,Nakkaagajik Avatteq,Nákâkajik,,Nakkaagajik Avatteq,"Nakkaakajik; Nakkaagai; Nakkaagai avadder",RGI40-05.13628,G336904E70076N,-23.095600,70.076000,LGIC
GGN0267,70.099300,-23.839700,Nakkaagajik Timerseq,,Vestre Borggletsjer,Nakkaagajik Timerseq,Nakkaagai Dimerser,RGI40-05.13564,G335798E70038N,-24.201900,70.038400,LGIC
GGN0268,70.103100,-23.460400,,,Torvet,Torvet,,RGI40-05.13566,G336557E70090N,-23.443400,70.090300,LGIC
GGN0269,70.159700,-26.859700,,,Rævebræ,Rævebræ,,RGI40-05.13281,G333205E70140N,-26.795100,70.140100,LGIC
GGN0270,70.170900,-25.912600,,,Østbræ,Østbræ,,RGI40-05.13625,G334135E70167N,-25.864800,70.167200,LGIC
GGN0271,70.174700,-24.149300,,,Månegletsjer,Månegletsjer,,RGI40-05.13495,G335865E70129N,-24.135500,70.128900,LGIC
GGN0272,70.182300,-25.109100,,,Bredegletsjer,Bredegletsjer,,RGI40-05.13726,G334864E70010N,-25.136500,70.009600,LGIC
GGN0273,70.183300,-24.516700,,,Solgletsjer,Solgletsjer,,RGI40-05.13496,G335518E70165N,-24.482100,70.164800,LGIC
GGN0274,70.257800,-24.773000,,,Foldegletsjer,Foldegletsjer,,RGI40-05.13728,G335200E70232N,-24.800500,70.232100,LGIC
GGN0275,70.294200,-29.470300,,,Vestfjord Gletsjer,Vestfjord Gletsjer,,,,0.000000,0.000000,GrIS
GGN0276,70.296900,-25.043500,,,Helgegletsjer,Helgegletsjer,,RGI40-05.13464,G334981E70270N,-25.019200,70.269600,LGIC
GGN0277,70.347900,-51.355000,Sermikassak,Sermikavsak,,Sermikassak,,RGI40-05.02159,G308607E70361N,-51.392600,70.360500,LGIC
GGN0278,70.400000,-51.833300,Sermersuaq,Sermerssuaq,,Sermersuaq,,RGI40-05.02163,G308199E70378N,-51.800600,70.377800,LGIC
GGN0279,70.405400,-50.536400,Sermeq Kujalleq,Sermeq Kujatdleq,Store Gletsjer,Sermeq Kujalleq,,,,0.000000,0.000000,GrIS
GGN0280,70.412200,-51.566000,Ilusissup Sermia,Ilusigsup Sermia,,Ilusissup Sermia,,RGI40-05.02147,G308389E70400N,-51.610900,70.399700,LGIC
GGN0281,70.475400,-51.981600,Umiartorfiup Sermia,Umiartorfiup Sermia,,Umiartorfiup Sermia,,RGI40-05.02123,G307948E70447N,-52.051700,70.447100,LGIC
GGN0282,70.481000,-52.539700,Sermikassak,Sermikavsak,,Sermikassak,,RGI40-05.02126,G307537E70486N,-52.463300,70.486300,LGIC
GGN0283,70.483300,-29.283300,,,Døde Bræ,Døde Bræ,,,,0.000000,0.000000,GrIS
GGN0284,70.531600,-52.062700,Assakaat Sermiat,Agssakait Sermiat,,Assakaat Sermiat,,RGI40-05.02117,G307855E70484N,-52.145000,70.483900,LGIC
GGN0285,70.531900,-28.901900,,,Rolige Bræ,Rolige Bræ,,,,0.000000,0.000000,GrIS
GGN0286,70.541200,-29.336300,,,Langemanden,Langemanden,,RGI40-05.15186,G330611E70544N,-29.389200,70.543500,LGIC
GGN0287,70.545400,-50.489600,Sermeq Avannarleq,Sermeq Avangnardleq,Lille Gletsjer,Sermeq Avannarleq,,,,0.000000,0.000000,GrIS
GGN0288,70.622500,-53.402000,Aaffarsuup Sermia,Auvfarssûp Sermia,,Aaffarsuup Sermia,,RGI40-05.02281,G306592E70619N,-53.408500,70.619400,LGIC
GGN0289,70.625100,-52.817800,Sermersuaq,Sermerssuaq,,Sermersuaq,,RGI40-05.02318,G307216E70649N,-52.784300,70.648800,LGIC
GGN0290,70.633300,-50.616700,Sermilik,Sermilik,Sermilik Isbræ,Sermilik,,,,0.000000,0.000000,GrIS
GGN0291,70.639900,-22.100900,,,Grete Gletsjer,Grete Gletsjer,,RGI40-05.15821,G337976E70640N,-22.024000,70.639900,LGIC
GGN0292,70.674600,-53.207300,Qiterlikassaap Sermia,Qiterdlikavsaup Sermia,,Qiterlikassaap Sermia,,RGI40-05.02278,G306792E70668N,-53.207800,70.667700,LGIC
GGN0293,70.676800,-22.129900,,,Hans Gletsjer,Hans Gletsjer,,RGI40-05.15836,G337933E70679N,-22.067300,70.678900,LGIC
GGN0294,70.683300,-21.866700,Apusiikajik,Apusîkajik,Aage Nielsen Gletsjer,Apusiikajik,,RGI40-05.15834,G338097E70681N,-21.902800,70.681000,LGIC
GGN0295,70.718400,-50.652300,Kangilleq,Kangigdleq,,Kangilleq,,,,0.000000,0.000000,GrIS
GGN0296,70.735000,-21.960300,,,Bjerring Pedersen Gletsjer,Bjerring Pedersen Gletsjer,,RGI40-05.15827,G338040E70737N,-21.959800,70.736900,LGIC
GGN0297,70.747400,-50.644700,Sisoortartukassak,Sisôrtartukavsak,,Sisoortartukassak,,,,0.000000,0.000000,GrIS
GGN0298,70.802100,-26.241100,,,Korridoren,Korridoren,,RGI40-05.15467,G333613E70810N,-26.387200,70.809700,LGIC
GGN0299,70.826800,-50.762700,Sermeq Silarleq,Sermeq Silardleq,,Sermeq Silarleq,,,,0.000000,0.000000,GrIS
GGN0300,70.846300,-21.882700,,,Emmanuel Gletsjer,Emmanuel Gletsjer,,RGI40-05.16232,G338047E70864N,-21.952700,70.863900,LGIC
GGN0301,70.935900,-52.083600,Serminnguaq,Sermínguaq,,Serminnguaq,,RGI40-05.02345,G307956E70929N,-52.044200,70.929200,LGIC
GGN0302,70.954100,-51.576600,Sisuugajooq,Sisûgajôq,,Sisuugajooq,,RGI40-05.02359,G308485E70961N,-51.514600,70.961300,LGIC
GGN0303,70.990900,-50.922700,Perlerfiup Sermia,Perdlerfiup Sermia,,Perlerfiup Sermia,,,,0.000000,0.000000,GrIS
GGN0304,71.001500,-51.461300,Sermipalaaq,,,Sermipalaaq,,RGI40-05.02353,G308510E70986N,-51.490300,70.985700,LGIC
GGN0305,71.027500,-50.835400,Sermeq Avannarleq,Sermeq Avangnardleq,,Sermeq Avannarleq,Avannarleq,,,0.000000,0.000000,GrIS
GGN0306,71.034900,-51.700000,Sermikassak,Sermikavsak,,Sermikassak,,RGI40-05.02352,G308332E71004N,-51.668200,71.004000,LGIC
GGN0307,71.143500,-51.364800,Tassartooq,Tavsartôq,,Tassartooq,,RGI40-05.02422,G308609E71159N,-51.390900,71.158500,LGIC
